tag,battery,holdout,item_text,method,rmse,prediction,truth,selected_rho,held_in_residual,effective_support,n_support_valid,method_label
trust_coverage_n12,Pew T1 TRUST,courts,The courts,generated support mixture,0.0413598907086873,"[0.208072, 0.601592, 0.190336]","[0.21, 0.55, 0.24]",0.0003,0.0035093923578333,4.770989561365421,12,Weighted support
trust_coverage_n12,Pew T1 TRUST,courts,The courts,unweighted archetype bank,0.0686881034499829,"[0.289167, 0.461667, 0.249167]","[0.21, 0.55, 0.24]",,,,12,Unweighted support
trust_coverage_n12,Pew T1 TRUST,courts,The courts,uniform,0.15369522511198,"[0.333333, 0.333333, 0.333333]","[0.21, 0.55, 0.24]",,,,12,Uniform
trust_coverage_n12,Pew T1 TRUST,parliament,Parliament,generated support mixture,0.0489647421753357,"[0.109104, 0.52467, 0.366226]","[0.12, 0.46, 0.42]",0.0003,0.0069171197102305,5.295213789350214,12,Weighted support
trust_coverage_n12,Pew T1 TRUST,parliament,Parliament,unweighted archetype bank,0.0370997154825867,"[0.170833, 0.445833, 0.383333]","[0.12, 0.46, 0.42]",,,,12,Unweighted support
trust_coverage_n12,Pew T1 TRUST,parliament,Parliament,uniform,0.1517307556898805,"[0.333333, 0.333333, 0.333333]","[0.12, 0.46, 0.42]",,,,12,Uniform
trust_coverage_n12,Pew T1 TRUST,police,The police,generated support mixture,0.0717775110714945,"[0.250791, 0.492661, 0.256549]","[0.34, 0.49, 0.17]",0.0003,0.0003852073277568,7.588969737050972,12,Weighted support
trust_coverage_n12,Pew T1 TRUST,police,The police,unweighted archetype bank,0.0636723383163102,"[0.2925, 0.4475, 0.26]","[0.34, 0.49, 0.17]",,,,12,Unweighted support
trust_coverage_n12,Pew T1 TRUST,police,The police,uniform,0.1307244770075172,"[0.333333, 0.333333, 0.333333]","[0.34, 0.49, 0.17]",,,,12,Uniform
trust_coverage_n12,Pew T1 TRUST,civil_service,The civil service,generated support mixture,0.0283058724171353,"[0.21308, 0.582982, 0.203938]","[0.18, 0.58, 0.24]",0.0003,0.0057274983002261,4.627215985340087,12,Weighted support
trust_coverage_n12,Pew T1 TRUST,civil_service,The civil service,unweighted archetype bank,0.0657048676250826,"[0.250833, 0.4925, 0.256667]","[0.18, 0.58, 0.24]",,,,12,Unweighted support
trust_coverage_n12,Pew T1 TRUST,civil_service,The civil service,uniform,0.1761312641816387,"[0.333333, 0.333333, 0.333333]","[0.18, 0.58, 0.24]",,,,12,Uniform
