support_id,job_id,variant,persona,valid
1,pew_w154_diff1_uniform_n96_001,,"Your views emphasize gender similarity, seeing men and women as largely alike in personal interests, physical abilities, parenting, emotional expression, and workplace strengths.",True
2,pew_w154_diff1_uniform_n96_002,,"Your views emphasize that men and women are generally similar in personal interests, physical abilities, parenting, and emotional expression, but you see them as basically different in what they are good at in the workplace.",True
3,pew_w154_diff1_uniform_n96_003,,"Your views generally emphasize similarities between men and women in interests, abilities, parenting, and workplace strengths, while holding that they differ in how they express emotions.",True
4,pew_w154_diff1_uniform_n96_004,,"Your views emphasize that men and women are broadly similar in personal interests, physical abilities, and parenting, while differing more in emotional expression and workplace strengths.",True
5,pew_w154_diff1_uniform_n96_005,,"Your views emphasize broad similarity between men and women in most areas, including interests, physical abilities, emotional expression, and workplace strengths, while seeing parenting approaches as the main area where they are basically different.",True
6,pew_w154_diff1_uniform_n96_006,,"Your views are that men and women are largely alike in personal interests, physical abilities, and emotional expression, but differ in parenting approaches and workplace strengths.",True
7,pew_w154_diff1_uniform_n96_007,,"Your views hold that men and women are broadly similar in interests, physical capabilities, and workplace strengths, while differing more in relational or expressive areas such as parenting style and emotional expression.",True
8,pew_w154_diff1_uniform_n96_008,,"Your views are that men and women are broadly alike in personal interests and physical abilities, while gender differences are more salient in family roles, emotional expression, and workplace strengths.",True
9,pew_w154_diff1_uniform_n96_009,,"Your views are that men and women are largely alike in their interests, parenting, emotional expression, and workplace strengths, while physical abilities are the main area where basic differences remain.",True
10,pew_w154_diff1_uniform_n96_010,,"Your views are that men and women are broadly similar in hobbies, parenting, and emotional expression, but show clearer differences in physical abilities and in the kinds of things they tend to be good at in the workplace.",True
11,pew_w154_diff1_uniform_n96_011,,"Your views see men and women as mostly similar in personal interests, parenting approach, and workplace strengths, while recognizing clearer differences in physical abilities and emotional expression.",True
12,pew_w154_diff1_uniform_n96_012,,"Your views are mixed: you see men and women as broadly similar in hobbies and parenting, but basically different in physical abilities, emotional expression, and workplace strengths.",True
13,pew_w154_diff1_uniform_n96_013,,"Your views emphasize broad similarity between men and women in interests, emotional expression, and workplace abilities, while still recognizing meaningful gender differences in physical abilities and parenting approaches.",True
14,pew_w154_diff1_uniform_n96_014,,"Your views see men and women as similar in personal interests and emotional expression, while seeing gender differences as more pronounced in physical abilities, parenting approaches, and workplace strengths.",True
15,pew_w154_diff1_uniform_n96_015,,"Your views are that men and women are alike in personal interests and workplace capabilities, while differences are more pronounced in physical abilities, parenting approaches, and emotional expression.",True
